Name of critic,Epidose,review
Dan Kois,E6,"In this final episode, needing only to execute George R.R. Martin's ending, they clearly made a choice: to lean into the things their show does better than most other shows. It was the right choice!"
Inkoo Kang,E6,Feels lazy and false. It's not much of a happy ending to go from placing our faith in kings and queens to trusting the judgment of unseen and unaccountable committee meetings.
Willa Paskin,E1,"Momentum, the idea that we are hurtling toward some conclusion that will explain it all, has been so encoded into the Game of Thrones experience that in the absence of any forward motion, the show is ... kind of dull."
Rob Bricken,E1,"If Game of Thrones manages to spend its remaining time wisely, maybe I'll be equally glad the show didn't waste more time on Jon's other milestones"
Ed Cumming,E1,The truth the hype industry can't acknowledge is that Game of Thrones has grown less interesting as it has increased in size
Nick Hilton,E2,"If some found this season's opening episode a little light on action and rather heavy on character reunions, then ""A Knight of the Seven Kingdoms"" offers no respite.

"
Anna Leszkiewicz,E2,"I like Game of Thrones when it is slower, chattier, and more character-focused, but at times, this episode became repetitive."
Jeva Lange,E2, It also highlighted the biggest problem Game of Thrones has this season: the utter lack of chemistry in its marquee relationships.
Pat Stacey,E3,"Even a relatively disinterested observer like me can tell this was a feeble anticlimax. Still, it wasn't the climax proper."
Andrew Bloom,E3,"""The Long Night"" can't help but feel like something of a disappointment."
Judy Berman,E3,"Game of Thrones still has three weeks to end on a thrilling note. It's just getting harder and harder, with each new episode, to imagine how that finale could possibly deliver on eight seasons' worth of anticipation.

"
Kelly Lawler,E4,It was a clumsy and overlong episode that tried to do far too much with far too little.
Soumya Srivastava,E4,"All in all, this episode was one the biggest disappointments of the season so far. But hey! At least we could see all of it without needing to squint or adjusting brightness levels on our screens."
Emily VanDerWerff,E4,"It was nearly an hour and 20 minutes long, but the overall effect was mildly chaotic, with a whole bunch of things happening and very few of them having the emotional weight that Game of Thrones clearly hoped they would have."
Melissa Leon,E5,The penultimate episode of the HBO epic failed to service its main characters..
Erik Henriksen,E5,"What an airless, joyless slog of an episode."
Jasmyne Keimig,E5,I think this was a hot garbage fire of an episode. Hot. Garbage. Fire.
Michelle Ruiz,E6,Disappointment is running high after Sunday's Game of Thrones finale....
Ned Lannamann,E6,"Pretty unhappy, but not exactly disappointed, because I think we all knew this was going to be a bumpy landing."
